Taxon,SLA,SLA units,SLAunits flag,LMA,LMA units,leaf area,wood density ,maximum height,seed mass,seed volume,flowering duration,source,source notes
Hippocratea barbata,,,,,,12.470,,,,,,AUSTRAITS_dataset_68,
Hippocratea barbata,,,,,,12.470,,,,,,AUSTRAITS_dataset_68,
Hippocratea barbata,,,,,,12.470,,,,,,Gallagher_field_workPHD,
Elaeocarpus obovatus,,,,,,12.500,,,,,,AUSTRAITS_dataset_68,
Syzygium oleosum,,,,,,12.500,,,,,,AUSTRAITS_dataset_68,
Syzygium oleosum,,,,,,12.500,,,,,,AUSTRAITS_dataset_68,
Diospyros australis,,,,,,12.513,,20.000,,,,AUSTRAITS_dataset_49,
Glochidion ferdinandi,,,,,,12.513,597.700,35.000,,,,AUSTRAITS_dataset_49,
Cissus hypoglauca,8.528, mm2/g,,,,12.590,,15.000,,,,AUSTRAITS_dataset_8,
Cissus hypoglauca,,,,,,12.590,,,,,,AUSTRAITS_dataset_68,
Cissus hypoglauca,8.528,mm2/mg,,,,12.590,,15.000,,,,AUSTRAITS_dataset_52,
Cleistanthus cunninghamii,,,,,,12.600,786.900,25.000,,,,AUSTRAITS_dataset_49,
Daphnandra tenuipes,,,,,,12.750,,,,,,AUSTRAITS_dataset_68,
Elaeocarpus obovatus,,,,,,12.770,,,,,,Gallagher_field_workPHD,
Dioscorea transversa,51.646, mm2/g,,,,12.777,,1.500,,,,AUSTRAITS_dataset_8,
Dioscorea transversa,,,,,,12.780,,,,,,AUSTRAITS_dataset_68,
Diospyros pentamera,,,,,,12.820,,,,,,Gallagher_field_workPHD,
Callerya megasperma,,,,,,12.833,,,,,,AUSTRAITS_dataset_68,
Sarcopteryx stipata,,,,,,12.833,,,,,,AUSTRAITS_dataset_68,
Sarcopteryx stipata,,,,,,12.833,,,,,,AUSTRAITS_dataset_68,
Sarcopteryx stipata,,,,,,12.833,,,,,,AUSTRAITS_dataset_68,
Trema tomentosa,,,,,,12.950,,,,,,Gallagher_field_workPHD,
Drypetes deplanchei,,,,,,13.000,,,,,,AUSTRAITS_dataset_68,
Ligustrum sinense,8.960,mm2/mg,,,,13.070,,3.000,22.477,,,AUSTRAITS_dataset_10,
Ligustrum sinense,,,,,,13.070,,,,,,AUSTRAITS_dataset_68,
Psychotria loniceroides,,,,,,13.100,,,,,,Gallagher_field_workPHD,
Elaeocarpus obovatus,,,,,,13.125,606.300,40.000,,,,AUSTRAITS_dataset_49,
Myrsine variabilis,,,,,,13.125,710.000,10.000,,,,AUSTRAITS_dataset_49,
Synoum glandulosum,7.968,m2/kg,,,,13.183,0.530,,,,,AUSTRAITS_dataset_28,
Flagellaria indica,,,,,,13.230,,,,,ephemeral,AUSTRAITS_dataset_56,
Morinda jasminoides,,,,,,13.330,,,,,,Gallagher_field_workPHD,
Daphnandra tenuipes,,,,,,13.388,563.300,20.000,,,,AUSTRAITS_dataset_49,
Sarcopteryx stipata,,,,,,13.475,838.500,40.000,,,,AUSTRAITS_dataset_49,
Callerya megasperma,,,,,,13.480,,,,,,Gallagher_field_workPHD,
Euroschinus falcatus,,,,,,13.750,,,,,,AUSTRAITS_dataset_68,
Atalaya salicifolia,,,,,,13.781,690.000,12.000,,,,AUSTRAITS_dataset_49,
Diospyros pentamera,,,,,,13.850,,,,,,Gallagher_field_workPHD,
Tristaniopsis laurina,,,,,,13.880,,,,,,AUSTRAITS_dataset_68,
Pandorea pandorana,,,,,,13.930,,,,,,Gallagher_field_workPHD,
Acmena smithii,,,,,,14.000,,,,,,AUSTRAITS_dataset_68,
Acmena smithii,,,,,,14.000,,,,,,AUSTRAITS_dataset_68,
Cryptocarya sclerophylla,,,,,,14.000,,15.000,,,,AUSTRAITS_dataset_49,
Pandorea pandorana,,,,,,14.020,,,,,,Gallagher_field_workPHD,
Morinda jasminoides,,,,,,14.060,,,,,,Gallagher_field_workPHD,
Diospyros australis,6.065,mm2/mg,,,,14.249,,2.000,,,,AUSTRAITS_dataset_52,
Diospyros australis,6.065, mm2/g,,,,14.249,,2.000,,,,AUSTRAITS_dataset_8,
Diospyros australis,,,,,,14.250,,,,,,AUSTRAITS_dataset_68,
Pararchidendron pruinosum,,,,,,14.333,500.000,20.000,,,,AUSTRAITS_dataset_49,
Flagellaria indica,,,,,,14.380,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,18.496,mm2/mg,,,,14.382,,2.000,,,,AUSTRAITS_dataset_52,
Flagellaria indica,18.496, mm2/g,,,,14.382,,2.000,,,,AUSTRAITS_dataset_8,
Tristaniopsis laurina,,,,,,14.569,825.600,30.000,,,,AUSTRAITS_dataset_49,
Heritiera trifoliolata,,,,,,14.667,,,,,,AUSTRAITS_dataset_68,
Heritiera trifoliolata,,,,,,14.667,,,,,,AUSTRAITS_dataset_68,
Beilschmiedia obtusifolia,,,,,,14.670,,,,,,AUSTRAITS_dataset_68,
Beilschmiedia obtusifolia,,,,,,14.670,,,,,,AUSTRAITS_dataset_68,
Beilschmiedia obtusifolia,,,,,,14.670,,,,,,AUSTRAITS_dataset_68,
Diospyros pentamera,,,,,,14.700,569.000,20.000,,,,AUSTRAITS_dataset_49,
Psydrax odorata,,,,,,14.700,780.000,15.000,,,,AUSTRAITS_dataset_49,
Synoum glandulosum,10.855,cm2/g,,,,14.798,,3.800,,,,AUSTRAITS_dataset_13,
Synoum glandulosum,,,,,,14.798,,,,,,AUSTRAITS_dataset_68,
Pittosporum undulatum,85.488, cm2/g,,,,14.807,,,,,,AUSTRAITS_dataset_12,
Guioa semiglauca,,,,,,14.900,,,,,,Gallagher_field_workPHD,
Alphitonia excelsa,7.972,mm2/mg,,,,14.907,,,,,,AUSTRAITS_dataset_52,
Alphitonia excelsa,,,,,,14.910,,,,,,AUSTRAITS_dataset_68,
Cryptocarya triplinervis,,,,,,15.000,,,,,,AUSTRAITS_dataset_68,
Myrsine variabilis,,,,,,15.070,,,,,,Gallagher_field_workPHD,
Mallotus discolor,,,,,,15.170,,,,,,AUSTRAITS_dataset_68,
Pseudoweinmannia lachnocarpa,,,,,,15.356,727.000,35.000,,,,AUSTRAITS_dataset_49,
Lomandra longifolia,,,,,,15.390,,,,,,AUSTRAITS_dataset_68,
Diospyros australis,,,,,,15.480,,,,,,AUSTRAITS_dataset_68,
Archirhodomyrtus beckleri,,,,118.500,g/m2,15.580,0.530,7.000,,,,AUSTRAITS_dataset_39,
Dioscorea transversa,,,,,,15.650,,,,,,Gallagher_field_workPHD,
Cissus hypoglauca,,,,,,15.670,,,,,,Gallagher_field_workPHD,
Cissus hypoglauca,,,,,,15.670,,,,,,AUSTRAITS_dataset_68,
Cupaniopsis serrata,,,,,,15.750,,9.000,293.215,,,AUSTRAITS_dataset_49,
Cryptocarya triplinervis,,,,,,15.810,,,,,,Gallagher_field_workPHD,
Cissus hypoglauca,,,,,,15.840,,,,,,Gallagher_field_workPHD,
Mallotus discolor,,,,,,15.925,580.500,30.000,,,,AUSTRAITS_dataset_49,
Parsonsia straminea,,,,,,16.060,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,14.522,mm2/mg,,,,16.119,,,,,,AUSTRAITS_dataset_52,
Flagellaria indica,14.522, mm2/g,,,,16.119,,,,,,AUSTRAITS_dataset_8,
Flagellaria indica,,,,,,16.120,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,,,,,,16.150,,,,,,Gallagher_field_workPHD,
Synoum glandulosum,,,,,,16.210,,,,,,Gallagher_field_workPHD,
Acacia bakeri,,,,,,16.250,,,,,,AUSTRAITS_dataset_68,
Capparis arborea,,,,,,16.250,,,,,,AUSTRAITS_dataset_68,
Capparis arborea,,,,,,16.250,,,,,,AUSTRAITS_dataset_68,
Rhodamnia rubescens,,,,,,16.250,,,,,,AUSTRAITS_dataset_68,
Endiandra discolor,,,,,,16.330,,,,,,AUSTRAITS_dataset_68,
Endiandra discolor,,,,,,16.330,,,,,,AUSTRAITS_dataset_68,
Capparis arborea,,,,,,16.350,,,,,,Gallagher_field_workPHD,
Pararchidendron pruinosum,,,,,,16.430,,,,,,Gallagher_field_workPHD,
Psychotria loniceroides,10.156,mm2/mg,,,,16.489,,1.200,,,,AUSTRAITS_dataset_52,
Psychotria loniceroides,10.156, mm2/g,,,,16.489,,1.200,,,,AUSTRAITS_dataset_8,
Psychotria loniceroides,,,,,,16.490,,,,,,AUSTRAITS_dataset_68,
Cissus hypoglauca,,,,,,16.500,,,,,,AUSTRAITS_dataset_68,
Cissus hypoglauca,,,,,,16.500,,,,,,AUSTRAITS_dataset_68,
Diospyros pentamera,,,,,,16.500,,,,,,Gallagher_field_workPHD,
Acronychia oblongifolia,,,,,,16.520,537.500,20.000,,,,AUSTRAITS_dataset_49,
Diospyros geminata,,,,,,16.538,,10.000,,,,AUSTRAITS_dataset_49,
Endiandra virens,,,,,,16.625,,10.000,,,,AUSTRAITS_dataset_49,
Psychotria loniceroides,,,,,,16.660,,,,,,Gallagher_field_workPHD,
Guioa semiglauca,,,,,,16.800,,,,,,Gallagher_field_workPHD,
trema tomentosa,,,,,,16.867,,6.000,,,may,AUSTRAITS_dataset_29,
Rhodamnia rubescens,,,,,,16.870,,,,,,AUSTRAITS_dataset_68,
Synoum glandulosum,12.059, mm2/g,,,,16.920,,8.500,,,,AUSTRAITS_dataset_8,
Synoum glandulosum,,,,,,16.920,,,,,,AUSTRAITS_dataset_68,
Cissus hypoglauca,,,,,,16.940,,,,,,Gallagher_field_workPHD,
Cissus hypoglauca,,,,,,16.942,,,,,,AUSTRAITS_dataset_68,
Ficus obliqua,,,,,,16.979,510.000,50.000,,,,AUSTRAITS_dataset_49,
Polyscias elegans,,,,,,16.980,,,,,,Gallagher_field_workPHD,
Drypetes deplanchei,,,,,,17.010,,,,,,Gallagher_field_workPHD,
Acacia bakeri,,,,,,17.063,774.000,40.000,70.686,,,AUSTRAITS_dataset_49,
Rhodamnia rubescens,,,,,,17.063,662.200,30.000,,,,AUSTRAITS_dataset_49,
Streblus brunonianus,,,,,,17.063,650.000,30.000,,,,AUSTRAITS_dataset_49,
Dioscorea transversa,,,,,,17.120,,,,,,AUSTRAITS_dataset_68,
Dioscorea transversa,,,,,,17.120,,,,,,Gallagher_field_workPHD,
Embelia australiana,,,,,,17.136,,,,,,AUSTRAITS_dataset_49,
Hippocratea barbata,,,,,,17.150,,,,,,AUSTRAITS_dataset_68,
Hippocratea barbata,,,,,,17.150,,,,,,Gallagher_field_workPHD,
Alphitonia excelsa,,,,132.100,g/m2,17.160,,,,,,AUSTRAITS_dataset_43,
Syzygium australe,,,,,,17.170,,,,,,Gallagher_field_workPHD,
Alphitonia excelsa,,,,132.100,g/m2,17.200,0.690,8.000,,,,AUSTRAITS_dataset_61,
Alphitonia excelsa,,,,,,17.255,562.000,20.000,,,,AUSTRAITS_dataset_49,
Embelia australiana,,,,,,17.310,,,,,,AUSTRAITS_dataset_68,
Embelia australiana,,,,,,17.310,,,,,,Gallagher_field_workPHD,
Carex appressa,,,,,,17.480,,,,,,AUSTRAITS_dataset_68,
Ficus coronata,,,,,,17.500,,,,,,AUSTRAITS_dataset_68,
Alphitonia excelsa,17.031,mm2/mg,,,,17.587,,35.000,,,,AUSTRAITS_dataset_52,
Alphitonia excelsa,,,,,,17.590,,,,,,AUSTRAITS_dataset_68,
Smilax australis,,,,,,17.710,,,,,,Gallagher_field_workPHD,
Capparis arborea,,,,,,17.830,,,,,,Gallagher_field_workPHD,
Cissus hypoglauca,,,,,,17.836,,,,,,AUSTRAITS_dataset_68,
Cissus hypoglauca,,,,,,17.840,,,,,,Gallagher_field_workPHD,
Cryptocarya bidwillii,,,,,,17.850,645.000,20.000,,,,AUSTRAITS_dataset_49,
Mischocarpus australis,,,,,,17.850,649.300,35.000,,,,AUSTRAITS_dataset_49,
Cryptocarya glaucescens,,,,,,18.000,,,,,,AUSTRAITS_dataset_68,
Cryptocarya obovata,,,,,,18.000,,,,,,AUSTRAITS_dataset_68,
Cryptocarya obovata,,,,,,18.000,,,,,,AUSTRAITS_dataset_68,
Pseudoweinmannia lachnocarpa,,,,,,18.000,,,,,,AUSTRAITS_dataset_68,
Capparis velutina,,,,,,18.200,,15.000,47.124,,,AUSTRAITS_dataset_49,
Endiandra discolor,,,,,,18.200,548.000,25.000,,,,AUSTRAITS_dataset_49,
Helicia glabriflora,,,,,,18.330,,,,,,AUSTRAITS_dataset_68,
Rhodomyrtus psidioides,,,,,,18.340,,,,,,Gallagher_field_workPHD,
Ficus coronata,,,,,,18.375,399.900,20.000,,,,AUSTRAITS_dataset_49,
Synoum glandulosum,,,,,,18.375,513.000,20.000,,,,AUSTRAITS_dataset_49,
Glochidion ferdinandi,11.869,mm2/mg,,,,18.402,,4.000,,,,AUSTRAITS_dataset_52,
Glochidion ferdinandi,11.869, mm2/g,,,,18.402,,4.000,,,,AUSTRAITS_dataset_8,
Cissus hypoglauca,,,,,,18.610,,,,,,AUSTRAITS_dataset_68,
Cissus hypoglauca,,,,,,18.610,,,,,,AUSTRAITS_dataset_68,
Cissus hypoglauca,,,,,,18.610,,,,,,AUSTRAITS_dataset_68,
Cissus hypoglauca,,,,,,18.610,,,,,,Gallagher_field_workPHD,
Cissus antarctica,,,,,,18.670,,,,,,AUSTRAITS_dataset_68,
Cissus antarctica,,,,,,18.670,,,,,,AUSTRAITS_dataset_68,
Synoum glandulosum,14.137, mm2/g,,,,18.671,,13.000,,,,AUSTRAITS_dataset_8,
Synoum glandulosum,14.137,mm2/mg,,,,18.671,,13.000,,,,AUSTRAITS_dataset_52,
Synoum glandulosum,,,,,,18.671,,,,,,AUSTRAITS_dataset_68,
Psychotria loniceroides,,,,,,18.681,,5.000,,,,AUSTRAITS_dataset_49,
Synoum glandulosum,,,,,,18.720,,,,,,Gallagher_field_workPHD,
Guioa semiglauca,,,,,,18.740,,,,,,Gallagher_field_workPHD,
Arytera divaricata,,,,,,18.750,,,,,,AUSTRAITS_dataset_68,
Arytera divaricata,,,,,,18.750,,,,,,AUSTRAITS_dataset_68,
Drypetes deplanchei,,,,,,18.802,,25.000,,,,AUSTRAITS_dataset_49,
Notelaea microcarpa,,,,,,18.840,,,,,,AUSTRAITS_dataset_68,
Notelaea microcarpa,8.173, mm2/g,,,,18.844,,3.000,,,,AUSTRAITS_dataset_8,
Notelaea microcarpa,8.173,mm2/mg,,,,18.844,,3.000,,,,AUSTRAITS_dataset_52,
Cryptocarya obovata,,,,,,18.900,550.400,45.000,,,,AUSTRAITS_dataset_49,
psychotria spp. 'shute harbour',,,,,,18.900,,5.000,,,,AUSTRAITS_dataset_49,
Alangium villosum,,,,,,19.000,,,,,,AUSTRAITS_dataset_68,
Alangium villosum,,,,,,19.000,,,,,,AUSTRAITS_dataset_68,
Alangium villosum,,,,,,19.000,,,,,,AUSTRAITS_dataset_68,
Cryptocarya glaucescens,,,,,,19.000,,,,,,AUSTRAITS_dataset_68,
Synoum glandulosum,10.107,mm2/mg,,,,19.004,,1.200,,,,AUSTRAITS_dataset_52,
Synoum glandulosum,10.107, mm2/g,,,,19.004,,1.200,,,,AUSTRAITS_dataset_8,
Synoum glandulosum,,,,,,19.004,,,,,,AUSTRAITS_dataset_68,
Euroschinus falcatus,,,,,,19.100,,,,,,Gallagher_field_workPHD,
Cinnamomum oliveri,,,,,,19.170,,,,,,AUSTRAITS_dataset_68,
Cinnamomum oliveri,,,,,,19.170,,,,,,AUSTRAITS_dataset_68,
Cinnamomum oliveri,,,,,,19.170,,,,,,AUSTRAITS_dataset_68,
Myrsine variabilis,,,,,,19.180,,,,,,Gallagher_field_workPHD,
Psychotria loniceroides,,,,,,19.180,,,,,,AUSTRAITS_dataset_68,
Psychotria loniceroides,14.261, mm2/g,,,,19.184,,1.000,,,,AUSTRAITS_dataset_8,
Psychotria loniceroides,14.261,mm2/mg,,,,19.184,,1.000,,,,AUSTRAITS_dataset_52,
Helicia glabriflora,,,,,,19.250,576.200,30.000,,,,AUSTRAITS_dataset_49,
Daphnandra apatela,,,,,,19.250,,,,,,AUSTRAITS_dataset_68,
Daphnandra apatela,,,,,,19.250,,,,,,AUSTRAITS_dataset_68,
Pittosporum undulatum,,,,,,19.250,,,,,,AUSTRAITS_dataset_68,
Pittosporum undulatum,,,,,,19.250,,,,,,AUSTRAITS_dataset_68,
Diospyros australis,7.395, mm2/g,,,,19.280,,0.100,,,,AUSTRAITS_dataset_8,
Diospyros australis,7.395,mm2/mg,,,,19.280,,0.100,,,,AUSTRAITS_dataset_52,
Diospyros australis,,,,,,19.280,,,,,,AUSTRAITS_dataset_68,
Lomandra longifolia,,,,,,19.540,,,,,,AUSTRAITS_dataset_68,
Lomandra longifolia,2.477, mm2/g,,,,19.541,,1.000,,,,AUSTRAITS_dataset_8,
Rubus rosifolius,31.486, mm2/g,,,,19.553,,0.400,,,,AUSTRAITS_dataset_8,
Rubus rosifolius,31.486,mm2/mg,,,,19.553,,0.400,,,,AUSTRAITS_dataset_52,
Rubus rosifolius,,,,,,19.553,,,,,,AUSTRAITS_dataset_68,
Capparis velutina,,,,,,19.600,,,31.416,,,AUSTRAITS_dataset_49,
Croton acronychioides,,,,,,19.600,,14.000,,,,AUSTRAITS_dataset_49,
Ficus opposita,,,,,,19.600,,8.000,,,,AUSTRAITS_dataset_56,
Pandorea pandorana,,,,,,19.600,,,50.265,,,AUSTRAITS_dataset_49,
Pouteria queenslandica,,,,,,19.600,,40.000,150.796,,,AUSTRAITS_dataset_49,
Senna sulfurea,,,,,,19.635,,11.000,56.549,,,AUSTRAITS_dataset_49,
Pittosporum undulatum,9.573, mm2/g,,,,19.670,,12.000,,,,AUSTRAITS_dataset_8,
Pittosporum undulatum,9.573,mm2/mg,,,,19.670,,12.000,,,,AUSTRAITS_dataset_52,
Pittosporum undulatum,,,,,,19.670,,,,,,AUSTRAITS_dataset_68,
Diospyros australis,6.576, mm2/g,,,,19.699,,4.000,,,,AUSTRAITS_dataset_8,
Diospyros australis,6.576,mm2/mg,,,,19.699,,4.000,,,,AUSTRAITS_dataset_52,
Guioa semiglauca,,,,,,19.700,,,,,,Gallagher_field_workPHD,
Trophis scandens,,,,,,19.740,,,,,,Gallagher_field_workPHD,
Smilax australis,13.134, mm2/g,,,,19.779,,0.700,,,,AUSTRAITS_dataset_8,
Smilax australis,,,,,,19.780,,,,,,AUSTRAITS_dataset_68,
Bridelia exaltata,,,,,,19.830,,,,,,AUSTRAITS_dataset_68,
Archidendron muellerianum,,,,,,19.833,,,,,,AUSTRAITS_dataset_68,
Diospyros australis,,,,,,19.920,,,,,,Gallagher_field_workPHD,
Cryptocarya glaucescens,,,,,,19.950,541.800,45.000,,,,AUSTRAITS_dataset_49,
Ficus obliqua,,,,,,20.000,,,,,,AUSTRAITS_dataset_68,
Wilkiea huegeliana,,,,,,20.120,,,,,,AUSTRAITS_dataset_68,
Wilkiea huegeliana,10.249, mm2/g,,,,20.121,,1.600,,,,AUSTRAITS_dataset_8,
Notelaea longifolia,,,,,,20.150,,,,,,Gallagher_field_workPHD,
Acmena smithii,,,,,,20.166,0.750,,,,,AUSTRAITS_dataset_30,
Acmena smithii,,,,,,20.170,,,,,,AUSTRAITS_dataset_68,
Daphnandra apatela,,,,,,20.213,559.000,35.000,,,,AUSTRAITS_dataset_49,
Pittosporum undulatum,,,,,,20.213,731.000,25.000,,,,AUSTRAITS_dataset_49,
Glochidion ferdinandi,,,,,,20.230,,,,,,Gallagher_field_workPHD,
Drypetes deplanchei,,,,,,20.280,,,,,,Gallagher_field_workPHD,
Turraea pubescens,,,,,,20.300,,7.000,,,,AUSTRAITS_dataset_49,
Flagellaria indica,,,,,,20.530,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,,,,,,20.530,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,,,,,,20.530,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,,,,,,20.530,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,,,,,,20.530,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,,,,,,20.530,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,,,,,,20.530,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,,,,,,20.530,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,,,,,,20.530,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,,,,,,20.530,,,,,,Gallagher_field_workPHD,
Heritiera trifoliolata,11.018,mm2/mg,,,,20.568,,,,,,AUSTRAITS_dataset_52,
Heritiera trifoliolata,,,,,,20.568,,,,,,AUSTRAITS_dataset_68,
Psychotria loniceroides,,,,,,20.580,,,,,,AUSTRAITS_dataset_68,
Psychotria loniceroides,,,,,,20.580,,,,,,AUSTRAITS_dataset_68,
Toona ciliata,,,,,,20.583,,,,,,AUSTRAITS_dataset_68,
Guioa semiglauca,,,,,,20.740,,,,,,Gallagher_field_workPHD,
Dioscorea transversa,,,,,,20.780,,,,,,Gallagher_field_workPHD,
Bridelia exaltata,,,,,,20.825,774.000,35.000,,,,AUSTRAITS_dataset_49,
Flagellaria indica,,,,,,20.830,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,,,,,,20.830,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,,,,,,20.830,,,,,,AUSTRAITS_dataset_68,
Diospyros pentamera,,,,,,20.880,,,,,,Gallagher_field_workPHD,
Alphitonia excelsa,9.897, mm2/g,,,,20.928,,20.000,,,,AUSTRAITS_dataset_8,
Alphitonia excelsa,9.897,mm2/mg,,,,20.928,,20.000,,,,AUSTRAITS_dataset_52,
Alphitonia excelsa,,,,,,20.930,,,,,,AUSTRAITS_dataset_68,
Canarium australasicum,,,,,,21.000,,,,,,AUSTRAITS_dataset_68,
Canarium australasicum,,,,,,21.000,,,,,,AUSTRAITS_dataset_68,
Melodorum leichhardtii,,,,,,21.000,,,,,,AUSTRAITS_dataset_68,
Melodorum leichhardtii,,,,,,21.000,,,,,,AUSTRAITS_dataset_68,
Melodorum leichhardtii,,,,,,21.000,,,,,,AUSTRAITS_dataset_68,
Wilkiea huegeliana,,,,,,21.000,,,,,,AUSTRAITS_dataset_68,
Wilkiea huegeliana,,,,,,21.000,,,,,,AUSTRAITS_dataset_68,
Pittosporum undulatum,,,,,,21.010,,,,,,Gallagher_field_workPHD,
Syzygium oleosum,,,,,,21.110,,,,,,Gallagher_field_workPHD,
Diospyros australis,,,,,,21.150,,,,,,Gallagher_field_workPHD,
Mischarytera lautereriana,,,,,,21.175,,30.000,,,,AUSTRAITS_dataset_49,
Ficus obliqua,,,,,,21.220,,,,,,Gallagher_field_workPHD,
Psychotria loniceroides,13.360,mm2/mg,,,,21.300,,4.000,11.994,,,AUSTRAITS_dataset_10,
Psychotria loniceroides,,,,,,21.300,,,,,,AUSTRAITS_dataset_68,
Notelaea longifolia,,,,,,21.450,,,,,,AUSTRAITS_dataset_68,
Notelaea longifolia,,,,,,21.450,,,,,,AUSTRAITS_dataset_68,
Trophis scandens,,,,,,21.570,,,,,,Gallagher_field_workPHD,
Endiandra sieberi,,,,,,21.610,,,,,,Gallagher_field_workPHD,
Cyclophyllum coprosmoides,,,,,,21.788,,10.000,,,,AUSTRAITS_dataset_49,
Trema tomentosa,,,,59.040,g/m2,21.790,0.460,2.500,,,,AUSTRAITS_dataset_39,
Calamus muelleri,,,,,,21.950,,,,,,Gallagher_field_workPHD,
Elaeagnus triflora,,,,,,22.050,,,,,,AUSTRAITS_dataset_49,
Hippocratea barbata,,,,,,22.050,,,,,,AUSTRAITS_dataset_49,
Melodorum leichhardtii,,,,,,22.050,,,,,,AUSTRAITS_dataset_49,
Wilkiea huegeliana,,,,,,22.050,571.900,13.500,,,,AUSTRAITS_dataset_49,
Stephania japonica,25.970, mm2/g,,,,22.116,,0.100,,,,AUSTRAITS_dataset_8,
Stephania japonica,,,,,,22.120,,,,,,AUSTRAITS_dataset_68,
Alphitonia excelsa,,,,,,22.170,,,,,,AUSTRAITS_dataset_68,
Alphitonia excelsa,,,,,,22.170,,,,,,AUSTRAITS_dataset_68,
Eupomatia laurina,,,,,,22.170,,,,,,AUSTRAITS_dataset_68,
Eupomatia laurina,,,,,,22.170,,,,,,AUSTRAITS_dataset_68,
Eupomatia laurina,,,,,,22.170,,,,,,AUSTRAITS_dataset_68,
Diospyros australis,,,,,,22.310,,,,,,AUSTRAITS_dataset_68,
Diospyros australis,8.291,mm2/mg,,,,22.313,,2.000,,,,AUSTRAITS_dataset_52,
Diospyros australis,8.291, mm2/g,,,,22.313,,2.000,,,,AUSTRAITS_dataset_8,
Elaeocarpus grandis,,,,,,22.500,,,,,,AUSTRAITS_dataset_68,
Elaeocarpus grandis,,,,,,22.500,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,,,,,,22.540,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,,,,,,22.540,,,,,,Gallagher_field_workPHD,
Euroschinus falcatus,,,,,,22.600,,,,,,Gallagher_field_workPHD,
Mischocarpus pyriformis,,,,,,22.667,,,,,,AUSTRAITS_dataset_68,
drypetes deplanchei,,,,,,22.820,,15.000,,,sep/oct/nov,AUSTRAITS_dataset_29,
Notelaea longifolia,58.369, cm2/g,,,,22.839,,,,,,AUSTRAITS_dataset_12,
Drypetes deplanchei,,,,,,22.860,,,,,,Gallagher_field_workPHD,
Syzygium australe,,,,,,22.920,,,,,,Gallagher_field_workPHD,
Cissus hypoglauca,,,,,,22.969,,,,,,AUSTRAITS_dataset_49,
Tabernaemontana pandacaqui,,,,,,23.050,,,,,,AUSTRAITS_dataset_68,
Alchornea ilicifolia,,,,,,23.100,,7.000,,,,AUSTRAITS_dataset_49,
Trophis scandens,,,,,,23.100,,,,,,AUSTRAITS_dataset_49,
Notelaea longifolia,,,,,,23.110,,,,,,Gallagher_field_workPHD,
Cleistanthus cunninghamii,,,,,,23.150,,,,,,AUSTRAITS_dataset_68,
Cleistanthus cunninghamii,12.618,m2/kg,,,,23.153,0.486,,,,,AUSTRAITS_dataset_28,
Cleistanthus cunninghamii,,,,,,23.230,,,,,,Gallagher_field_workPHD,
Toona ciliata,,,,,,23.275,389.000,45.000,,,,AUSTRAITS_dataset_49,
Endiandra pubens,,,,,,23.330,,,,,,AUSTRAITS_dataset_68,
Endiandra pubens,,,,,,23.330,,,,,,AUSTRAITS_dataset_68,
Endiandra pubens,,,,,,23.330,,,,,,AUSTRAITS_dataset_68,
Trophis scandens,5.652,mm2/mg,,,,23.339,,,,,,AUSTRAITS_dataset_52,
Trophis scandens,5.652, mm2/g,,,,23.339,,,,,,AUSTRAITS_dataset_8,
Trophis scandens,,,,,,23.340,,,,,,AUSTRAITS_dataset_68,
Endiandra discolor,,,,131.480,g/m2,23.370,0.580,8.000,,,,AUSTRAITS_dataset_39,
Lomandra longifolia,6.431, mm2/g,,,,23.385,,1.000,,,,AUSTRAITS_dataset_8,
Lomandra longifolia,,,,,,23.390,,,,,,AUSTRAITS_dataset_68,
Glochidion ferdinandi,,,,,,23.480,,,,,,Gallagher_field_workPHD,
Euroschinus falcatus,,,,,,23.530,,,,,,Gallagher_field_workPHD,
Alectryon tomentosus,,,,,,23.625,,20.000,,,,AUSTRAITS_dataset_49,
Capparis arborea,,,,,,23.625,700.000,10.000,47.124,,,AUSTRAITS_dataset_49,
Diospyros australis,,,,,,23.740,,,,,,Gallagher_field_workPHD,
Cupaniopsis newmanii,,,,,,23.750,,,,,,AUSTRAITS_dataset_68,
Archidendron muellerianum,,,,,,23.800,,20.000,,,,AUSTRAITS_dataset_49,
Auranticarpa rhombifolia,,,,,,23.800,743.900,40.000,,,,AUSTRAITS_dataset_49,
Syzygium oleosum,,,,,,23.810,,,,,,Gallagher_field_workPHD,
Euroschinus falcatus,,,,,,23.870,412.000,30.000,,,,AUSTRAITS_dataset_49,
