Taxon,SLA,SLA units,SLAunits flag,LMA,LMA units,leaf area,wood density,maximum height,seed mass,seed volume,flowering.onset,flowering.end,flowering.duration,source,source notes
Cissus antarctica,,,,,,31.53,,,,,,,,AUSTRAITS_dataset_68,
Cissus antarctica,,,,,,31.53,,,,,,,,Gallagher_field_workPHD,
Parsonsia straminea,,,,,,31.53,,,,,,,,AUSTRAITS_dataset_68,
Parsonsia straminea,,,,,,31.53,,,,,,,,AUSTRAITS_dataset_68,
Parsonsia straminea,,,,,,31.53,,,,,,,,AUSTRAITS_dataset_68,
Parsonsia straminea,,,,,,31.53,,,,,,,,AUSTRAITS_dataset_68,
Parsonsia straminea,,,,,,31.53,,,,,,,,AUSTRAITS_dataset_68,
Parsonsia straminea,,,,,,31.53,,,,,,,,AUSTRAITS_dataset_68,
Parsonsia straminea,,,,,,31.53,,,,,,,,AUSTRAITS_dataset_68,
Parsonsia straminea,,,,,,31.53,,,,,,,,Gallagher_field_workPHD,
Capparis arborea,8.463,m2/kg,,,,31.538,0.621,,,,,,,AUSTRAITS_dataset_28,
Embelia australiana,,,,,,31.64,,,,,,,,Gallagher_field_workPHD,
Trophis scandens,,,,,,31.77,,,,,,,,Gallagher_field_workPHD,
Erythrina species 'Croftby',,,,,,31.85,215,30,62.832,,,,,AUSTRAITS_dataset_49,
Carex appressa,,,,,,31.86,,,,,,,,AUSTRAITS_dataset_68,
Cryptocarya glaucescens,10.72, mm2/g,,,,31.867,,4,,,,,,AUSTRAITS_dataset_8,
Sloanea australis,,,,,,31.9,,,,,,,,AUSTRAITS_dataset_68,
Sloanea australis,17.99, mm2/g,,,,31.904,,4.5,,,,,,AUSTRAITS_dataset_8,
Sloanea australis,17.99,mm2/mg,,,,31.904,,4.5,,,,,,AUSTRAITS_dataset_52,
Dioscorea transversa,,,,,,32.13,,,,,,,,AUSTRAITS_dataset_68,
Dioscorea transversa,,,,,,32.13,,,,,,,,Gallagher_field_workPHD,
Eupomatia laurina,,,,,,32.17,,,,,,,,Gallagher_field_workPHD,
Lophostemon suaveolens,,,,171.59,g/m2,32.27,0.57,30,,,,,,AUSTRAITS_dataset_39,
Alphitonia excelsa,,,,80.6,g/m2,32.28,,,,,,,,AUSTRAITS_dataset_43,
Alphitonia excelsa,,,,80.6,g/m2,32.3,,25,,,,,,AUSTRAITS_dataset_45,
Alphitonia excelsa,,,,80.6,g/m2,32.3,0.5,25,,,,,,AUSTRAITS_dataset_61,
Cissus antarctica,,,,,,32.34,,,,,,,,AUSTRAITS_dataset_68,
Cissus antarctica,,,,,,32.34,,,,,,,,Gallagher_field_workPHD,
Eupomatia laurina,,,,,,32.39,,,,,,,,Gallagher_field_workPHD,
Pittosporum undulatum,,,,,,32.39,,,,,,,,AUSTRAITS_dataset_68,
Pittosporum undulatum,11.75,m2/kg,,,,32.392,0.683,,,,,,,AUSTRAITS_dataset_28,
Cryptocarya glaucescens,9.762, mm2/g,,,,32.706,,1.2,,,,,,AUSTRAITS_dataset_8,
Cryptocarya glaucescens,,,,,,32.71,,,,,,,,AUSTRAITS_dataset_68,
Eupomatia laurina,,,,,,32.97,,,,,,,,AUSTRAITS_dataset_68,
Polyscias elegans,,,,,,32.97,,,,,,,,Gallagher_field_workPHD,
Eupomatia laurina,15.393,m2/kg,,,,32.972,0.478,,,,,,,AUSTRAITS_dataset_28,
Endiandra globosa,,,,,,33,,,,,,,,AUSTRAITS_dataset_68,
Endiandra globosa,,,,,,33,,,,,,,,AUSTRAITS_dataset_68,
Rhodomyrtus psidioides,,,,,,33,,,,,,,,AUSTRAITS_dataset_68,
Capparis arborea,7.417,m2/kg,,,,33.117,0.65,,,,,,,AUSTRAITS_dataset_28,
Capparis arborea,,,,,,33.12,,,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,,,,,,33.16,,,,,,,,Gallagher_field_workPHD,
Synoum glandulosum,,,,,,33.28,,,,,,,,Gallagher_field_workPHD,
Polyscias elegans,,,,,,33.38,,,,,,,,Gallagher_field_workPHD,
Beilschmiedia obtusifolia,,,,,,33.6,633,35,,,,,,AUSTRAITS_dataset_49,
Flindersia schottiana,,,,,,33.75,,,,,,,,AUSTRAITS_dataset_68,
Flindersia schottiana,,,,,,33.75,,,,,,,,AUSTRAITS_dataset_68,
Notelaea longifolia,,,,,,33.76,,,,,,,,Gallagher_field_workPHD,
Olea paniculata,,,,,,33.78,,,,,,,,Gallagher_field_workPHD,
Clematis aristata,,,,,,34,,,,,,,,AUSTRAITS_dataset_68,
Clematis aristata,,,,,,34,,,,,,,,AUSTRAITS_dataset_68,
Clematis aristata,,,,,,34,,,,,,,,Gallagher_field_workPHD,
Clematis aristata,30.771, mm2/g,,,,34.07,,8,,,,,,AUSTRAITS_dataset_8,
Clematis aristata,,,,,,34.07,,,,,,,,AUSTRAITS_dataset_68,
Pittosporum undulatum,10.09, mm2/g,,,,34.245,,7,,,,,,AUSTRAITS_dataset_8,
Pittosporum undulatum,,,,,,34.25,,,,,,,,AUSTRAITS_dataset_68,
Eupomatia laurina,,,,,,34.28,,,,,,,,AUSTRAITS_dataset_68,
Eupomatia laurina,10.294, mm2/g,,,,34.281,,7,,,,,,AUSTRAITS_dataset_8,
Eupomatia laurina,10.294,mm2/mg,,,,34.281,,7,,,,,,AUSTRAITS_dataset_52,
Alangium villosum,,,,,,34.32,,,,,,,,Gallagher_field_workPHD,
Stephania japonica,,,,,,34.36,,,,,,,,Gallagher_field_workPHD,
Cupaniopsis anacardioides,,,,,,34.54,,,,,,,,Gallagher_field_workPHD,
Eupomatia laurina,15.724,m2/kg,,,,34.562,0.508,,,,,,,AUSTRAITS_dataset_28,
Pittosporum undulatum,,,,,,34.58,,,,,,,,Gallagher_field_workPHD,
Eupomatia laurina,14.433, mm2/g,,,,34.639,,4.5,,,,,,AUSTRAITS_dataset_8,
Eupomatia laurina,,,,,,34.64,,,,,,,,AUSTRAITS_dataset_68,
Rhodomyrtus psidioides,,,,,,34.65,778.3,20,,,,,,AUSTRAITS_dataset_49,
Sloanea woollsii,,,,,,34.67,,,,,,,,AUSTRAITS_dataset_68,
Sloanea woollsii,,,,,,34.67,,,,,,,,AUSTRAITS_dataset_68,
Sloanea woollsii,,,,,,34.67,,,,,,,,AUSTRAITS_dataset_68,
Cupaniopsis anacardioides,,,,,,34.79,,,,,,,,Gallagher_field_workPHD,
Stephania japonica,,,,,,34.88,,,,,,,,Gallagher_field_workPHD,
Alangium villosum,,,,,,34.9,,,,,,,,Gallagher_field_workPHD,
Glochidion ferdinandi,,,,,,34.9,,,,,,,,Gallagher_field_workPHD,
Notelaea longifolia,,,,,,34.93,,,,,,,,Gallagher_field_workPHD,
Myrsine variabilis,,,,,,34.97,,,,,,,,Gallagher_field_workPHD,
Citronella moorei,,,,,,35,,,,,,,,AUSTRAITS_dataset_68,
Citronella moorei,,,,,,35,,,,,,,,AUSTRAITS_dataset_68,
Eupomatia bennettii,,,,,,35,,,,,,,,AUSTRAITS_dataset_68,
Eupomatia bennettii,,,,,,35,,,,,,,,AUSTRAITS_dataset_68,
Wilkiea huegeliana,,,,,,35,,,,,,,,AUSTRAITS_dataset_68,
Wilkiea huegeliana,9.194, mm2/g,,,,35.001,,2,,,,,,AUSTRAITS_dataset_8,
Cissus antarctica,11.076,mm2/mg,,,,35.379,,0.8,,,,,,AUSTRAITS_dataset_52,
Cissus antarctica,11.076, mm2/g,,,,35.379,,0.8,,,,,,AUSTRAITS_dataset_8,
Cissus antarctica,,,,,,35.38,,,,,,,,AUSTRAITS_dataset_68,
Lophostemon suaveolens,,,,,,35.438,,20,,,,,,AUSTRAITS_dataset_49,
Flindersia schottiana,,,,,,35.44,,,,,,,,Gallagher_field_workPHD,
Dysoxylum rufum,,,,,,35.525,,30,,,,,,AUSTRAITS_dataset_49,
Ficus fraseri,9.902,m2/kg,,,,35.68,0.502,,,,,,,AUSTRAITS_dataset_28,
Ficus fraseri,,,,,,35.68,,,,,,,,AUSTRAITS_dataset_68,
Arytera divaricata,,,,,,35.77,,,,,,,,Gallagher_field_workPHD,
Mallotus claoxyloides,,,,,,35.875,,8,,,,,,AUSTRAITS_dataset_49,
Polyscias elegans,,,,72.8,g/m2,35.9,0.22,25,,,,,,AUSTRAITS_dataset_61,
Eupomatia laurina,,,,,,35.92,,,,,,,,Gallagher_field_workPHD,
Lantana camara,,,,,,35.96,,,,,,,,AUSTRAITS_dataset_68,
Lantana camara,22.617, mm2/g,,,,35.961,,4,,,,,,AUSTRAITS_dataset_8,
Carex appressa,14.14,mm2/mg,,,,36,,1,1.001,,,,,AUSTRAITS_dataset_10,
Carex appressa,,,,,,36,,,,,,,,AUSTRAITS_dataset_68,
Wilkiea huegeliana,,,,,,36.06,,,,,,,,AUSTRAITS_dataset_68,
Trema tomentosa,,,,,,36.225,,6,,,,,,AUSTRAITS_dataset_49,
Sloanea woollsii,,,,,,36.4,533.2,45,,,,,,AUSTRAITS_dataset_49,
Lophostemon confertus,,,,,,36.444,690,40,,,,,,AUSTRAITS_dataset_49,
Ficus coronata,15.645, mm2/g,,,,36.716,,1.8,,,,,,AUSTRAITS_dataset_8,
Ficus coronata,,,,,,36.72,,,,,,,,AUSTRAITS_dataset_68,
Alangium villosum,15.616,m2/kg,,,,36.723,0.545,,,,,,,AUSTRAITS_dataset_28,
Citronella moorei,,,,,,36.75,562,40,,,,,,AUSTRAITS_dataset_49,
Pittosporum undulatum,,,,,,36.77,,,,,,,,Gallagher_field_workPHD,
Cupaniopsis anacardioides,,,,,,37.013,700,15,,,,,,AUSTRAITS_dataset_49,
Melodorum leichhardtii,,,,,,37.19,,,,,,,,AUSTRAITS_dataset_68,
Melodorum leichhardtii,,,,,,37.19,,,,,,,,AUSTRAITS_dataset_68,
Melodorum leichhardtii,,,,,,37.19,,,,,,,,AUSTRAITS_dataset_68,
Melodorum leichhardtii,,,,,,37.19,,,,,,,,AUSTRAITS_dataset_68,
Melodorum leichhardtii,,,,,,37.19,,,,,,,,AUSTRAITS_dataset_68,
Melodorum leichhardtii,,,,,,37.19,,,,,,,,AUSTRAITS_dataset_68,
Melodorum leichhardtii,,,,,,37.19,,,,,,,,AUSTRAITS_dataset_68,
Melodorum leichhardtii,,,,,,37.19,,,,,,,,Gallagher_field_workPHD,
Macadamia tetraphylla,,,,,,37.52,,18,,,,,,AUSTRAITS_dataset_49,
Neolitsea dealbata,13.578, mm2/g,,,,38.406,,1.7,,,,,,AUSTRAITS_dataset_8,
Neolitsea dealbata,,,,,,38.41,,,,,,,,AUSTRAITS_dataset_68,
Smilax australis,,,,,,38.52,,,,,,,,AUSTRAITS_dataset_68,
Smilax australis,12.725, mm2/g,,,,38.525,,0.5,,,,,,AUSTRAITS_dataset_8,
Arytera divaricata,,,,,,38.588,590,30,,,,,,AUSTRAITS_dataset_49,
Eupomatia laurina,14.9,m2/kg,,,,38.64,0.515,,,,,,,AUSTRAITS_dataset_28,
Stephania japonica,,,,,,38.65,,,,,,,,AUSTRAITS_dataset_68,
Rubus moluccanus,,,,,,38.68,,,,,,,,AUSTRAITS_dataset_68,
Rubus moluccanus,,,,,,38.68,,,,,,,,Gallagher_field_workPHD,
Flagellaria indica,,,,,,38.78,,,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,,,,,,38.78,,,,,,,,Gallagher_field_workPHD,
Trophis scandens,,,,,,38.9,,,,,,,,Gallagher_field_workPHD,
Neolitsea dealbata,,,,,,38.94,,,,,,,,Gallagher_field_workPHD,
Notelaea longifolia,,,,,,39.04,,,,,,,,Gallagher_field_workPHD,
Cissus antarctica,,,,,,39.16,,,,,,,,AUSTRAITS_dataset_68,
Cissus antarctica,,,,,,39.16,,,,,,,,Gallagher_field_workPHD,
Pittosporum undulatum,16.472,mm2/mg,,,,39.237,,2.3,,,,,,AUSTRAITS_dataset_52,
Pittosporum undulatum,16.472, mm2/g,,,,39.237,,2.3,,,,,,AUSTRAITS_dataset_8,
Pittosporum undulatum,,,,,,39.24,,,,,,,,AUSTRAITS_dataset_68,
Cissus antarctica,,,,,,39.61,,,,,,,,Gallagher_field_workPHD,
Marsdenia rostrata,,,,,,39.813,,,,,,,,AUSTRAITS_dataset_49,
Cupaniopsis anacardioides,,,,,,39.88,,,,,,,,Gallagher_field_workPHD,
Cissus antarctica,,,,,,39.9,,,,,,,,AUSTRAITS_dataset_49,
Ficus fraseri,14.414,m2/kg,,,,39.952,0.585,,,,,,,AUSTRAITS_dataset_28,
Smilax australis,7.973, mm2/g,,,,39.998,,4,,,,,,AUSTRAITS_dataset_8,
Smilax australis,,,,,,40,,,,,,,,AUSTRAITS_dataset_68,
Sterculia quadrifida,,,,,,40,,,,,,,,AUSTRAITS_dataset_68,
Psychotria loniceroides,15.608,mm2/mg,,,,40.057,,1,,,,,,AUSTRAITS_dataset_52,
Psychotria loniceroides,15.608, mm2/g,,,,40.057,,1,,,,,,AUSTRAITS_dataset_8,
Psychotria loniceroides,,,,,,40.06,,,,,,,,AUSTRAITS_dataset_68,
Eupomatia laurina,,,,,,40.28,,,,,,,,Gallagher_field_workPHD,
Euroschinus falcatus,,,,76.95,g/m2,40.42,0.45,25,,,,,,AUSTRAITS_dataset_39,
Mischocarpus pyriformis,,,,,,40.51,,,,,,,,Gallagher_field_workPHD,
Wilkiea huegeliana,11.978, mm2/g,,,,40.527,,1,,,,,,AUSTRAITS_dataset_8,
Wilkiea huegeliana,,,,,,40.53,,,,,,,,AUSTRAITS_dataset_68,
Stephania japonica,,,,,,40.66,,,,,,,,Gallagher_field_workPHD,
Alangium villosum,,,,,,41.125,570,20,,,,,,AUSTRAITS_dataset_49,
Alangium villosum,,,,,,41.125,570,9,,,,,,AUSTRAITS_dataset_49,
Hicksbeachia pinnatifolia,,,,,,41.33,,,,,,,,AUSTRAITS_dataset_68,
Hicksbeachia pinnatifolia,,,,,,41.33,,,,,,,,AUSTRAITS_dataset_68,
Hicksbeachia pinnatifolia,,,,,,41.33,,,,,,,,AUSTRAITS_dataset_68,
Rhodomyrtus psidioides,,,,,,41.39,,,,,,,,Gallagher_field_workPHD,
Cupaniopsis anacardioides,,,,,,41.398,,,,,,,,AUSTRAITS_dataset_68,
Eupomatia laurina,,,,,,41.563,,10,,,,,,AUSTRAITS_dataset_49,
Cissus antarctica,,,,,,41.63,,,,,,,,AUSTRAITS_dataset_68,
Cissus antarctica,,,,,,41.63,,,,,,,,Gallagher_field_workPHD,
Ficus coronata,16.555,m2/kg,,,,41.718,0.4,,,,,,,AUSTRAITS_dataset_28,
Endiandra globosa,,,,,,41.948,720,30,,,,,,AUSTRAITS_dataset_49,
Wilkiea huegeliana,9.276, mm2/g,,,,42.119,,0.8,,,,,,AUSTRAITS_dataset_8,
Cleistanthus cunninghamii,11.487,m2/kg,,,,42.292,0.733,,,,,,,AUSTRAITS_dataset_28,
Eupomatia laurina,12.694, mm2/g,,,,42.437,,15,,,,,,AUSTRAITS_dataset_8,
Eupomatia laurina,,,,,,42.44,,,,,,,,AUSTRAITS_dataset_68,
Mallotus philippensis,,,,,,42.525,600,25,,,,,,AUSTRAITS_dataset_49,
Smilax australis,,,,,,43.33,,,,,,,,AUSTRAITS_dataset_68,
Smilax australis,,,,,,43.33,,,,,,,,AUSTRAITS_dataset_68,
Carronia multisepala,,,,,,43.4,,,62.832,,,,,AUSTRAITS_dataset_49,
Eupomatia laurina,,,,,,43.4,,,,,,,,Gallagher_field_workPHD,
Hicksbeachia pinnatifolia,,,,,,43.4,580.5,15,,,,,,AUSTRAITS_dataset_49,
Pouteria queenslandica,,,,,,43.5,,,,,,,,AUSTRAITS_dataset_68,
Parsonsia straminea,,,,,,43.51,,,,,,,,Gallagher_field_workPHD,
Arytera divaricata,,,,,,43.6,,,,,,,,Gallagher_field_workPHD,
Neolitsea dealbata,,,,,,43.75,,,,,,,,AUSTRAITS_dataset_68,
Neolitsea dealbata,,,,,,43.75,,,,,,,,AUSTRAITS_dataset_68,
Neolitsea dealbata,,,,,,43.75,,,,,,,,AUSTRAITS_dataset_68,
Mischocarpus pyriformis,,,,,,43.86,,,,,,,,Gallagher_field_workPHD,
Notelaea longifolia,55.764, cm2/g,,,,44.096,,,,,,,,AUSTRAITS_dataset_12,
Dioscorea transversa,,,,,,44.1,,,4.712,,,,,AUSTRAITS_dataset_49,
Alangium villosum,19.461,m2/kg,,,,44.307,0.485,,,,,,,AUSTRAITS_dataset_28,
Parsonsia straminea,,,,,,44.33,,,,,,,,AUSTRAITS_dataset_68,
Parsonsia straminea,,,,,,44.33,,,,,,,,AUSTRAITS_dataset_68,
Endiandra discolor,,,,,,44.49,,,,,,,,Gallagher_field_workPHD,
Stephania japonica,,,,,,44.68,,,,,,,,AUSTRAITS_dataset_68,
Stephania japonica,,,,,,44.68,,,,,,,,Gallagher_field_workPHD,
Helicia glabriflora,,,,,,44.85,,,,,,,,Gallagher_field_workPHD,
Mischocarpus pyriformis,,,,,,45.019,600,30,,,,,,AUSTRAITS_dataset_49,
Ficus fraseri,,,,,,45.28,,,,,,,,Gallagher_field_workPHD,
Alangium villosum,19.214,m2/kg,,,,45.44,0.594,,,,,,,AUSTRAITS_dataset_28,
Cissus antarctica,,,,,,45.46,,,,,,,,AUSTRAITS_dataset_68,
Cissus antarctica,,,,,,45.46,,,,,,,,AUSTRAITS_dataset_68,
Cissus antarctica,,,,,,45.46,,,,,,,,Gallagher_field_workPHD,
Smilax australis,,,,,,45.5,,,,,,,,AUSTRAITS_dataset_49,
Arytera divaricata,,,,,,45.82,,,,,,,,Gallagher_field_workPHD,
Carissa ovata,,,,,,46.2,,,,,,,,AUSTRAITS_dataset_6,flora
Ficus virens,,,,,,46.288,340,40,,,,,,AUSTRAITS_dataset_49,
Arytera divaricata,,,,,,46.61,,,,,,,,Gallagher_field_workPHD,
Ficus opposita,,,,,,46.638,,10,,,,,,AUSTRAITS_dataset_49,
Calamus muelleri,,,,,,47.25,,,,,,,,AUSTRAITS_dataset_68,
Calamus muelleri,,,,,,47.25,,,,,,,,Gallagher_field_workPHD,
Smilax australis,,,,,,47.57,,,,,,,,AUSTRAITS_dataset_68,
Smilax australis,,,,,,47.57,,,,,,,,AUSTRAITS_dataset_68,
Smilax australis,,,,,,47.57,,,,,,,,AUSTRAITS_dataset_68,
Smilax australis,,,,,,47.57,,,,,,,,AUSTRAITS_dataset_68,
Smilax australis,,,,,,47.57,,,,,,,,AUSTRAITS_dataset_68,
Smilax australis,,,,,,47.57,,,,,,,,Gallagher_field_workPHD,
Carronia multisepala,,,,,,47.67,,,,,,,,AUSTRAITS_dataset_68,
Carronia multisepala,,,,,,47.67,,,,,,,,AUSTRAITS_dataset_68,
Dysoxylum rufum,,,,,,47.77,,,,,,,,Gallagher_field_workPHD,
Pavetta australiensis,,,,,,47.775,,7,,,,,,AUSTRAITS_dataset_49,
Commersonia bartramia,,,,,,47.84,,,,,,,,Gallagher_field_workPHD,
Ligustrum lucidum,12.01,mm2/mg,,,,48,,3,21.379,,,,,AUSTRAITS_dataset_10,
Ligustrum lucidum,,,,,,48,,,,,,,,AUSTRAITS_dataset_68,
Marsdenia rostrata,,,,,,48.8,,,,,,,,Gallagher_field_workPHD,
Commersonia bartramia,,,,,,49,,,,,,,,AUSTRAITS_dataset_68,
Parsonsia straminea,,,,,,49,,,,,,,,AUSTRAITS_dataset_49,
Marsdenia rostrata,,,,,,49.5,,,,,,,,Gallagher_field_workPHD,
Melodinus australis,,,,,,49.613,,,,,,,,AUSTRAITS_dataset_49,
Clematis aristata,,,,,,49.66,,,,,,,,Gallagher_field_workPHD,
Marsdenia rostrata,,,,,,49.98,,,,,,,,Gallagher_field_workPHD,
Parsonsia straminea,12.204, mm2/g,,,,50.03,,17,,,,,,AUSTRAITS_dataset_8,
Parsonsia straminea,12.204,mm2/mg,,,,50.03,,17,,,,,,AUSTRAITS_dataset_52,
Parsonsia straminea,,,,,,50.03,,,,,,,,AUSTRAITS_dataset_68,
Macadamia tetraphylla,,,,,,50.17,,,,,,,,AUSTRAITS_dataset_68,
Wilkiea huegeliana,,,,,,51.31,,,,,,,,Gallagher_field_workPHD,
Lophostemon suaveolens,,,,61.8,g/m2,51.46,,,,,,,,AUSTRAITS_dataset_43,
Piper hederaceum,,,,,,51.476,,,,,,,,AUSTRAITS_dataset_49,
Lophostemon suaveolens,,,,61.8,g/m2,51.5,0.46,25,,,,,,AUSTRAITS_dataset_61,
Lophostemon suaveolens,,,,61.8,,51.5,,25,,,,,,AUSTRAITS_dataset_45,
Wilkiea huegeliana,,,,,,51.5,,,,,,,,Gallagher_field_workPHD,
Mischocarpus pyriformis,,,,,,51.85,,,,,,,,Gallagher_field_workPHD,
Ficus fraseri,10.891,m2/kg,,,,52.133,0.421,,,,,,,AUSTRAITS_dataset_28,
Marsdenia rostrata,,,,,,52.18,,,,,,,,Gallagher_field_workPHD,
Neolitsea dealbata,,,,,,52.28,,,,,,,,AUSTRAITS_dataset_68,
Ficus racemosa,,,,,,52.5,,35,,,,,,AUSTRAITS_dataset_49,
Parsonsia straminea,,,,,,54.24,,,,,,,,Gallagher_field_workPHD,
Mischocarpus pyriformis,,,,,,54.69,,,,,,,,Gallagher_field_workPHD,
Ficus opposita,,,,120.86,g/m2,55.65,0.44,4,,,,,,AUSTRAITS_dataset_39,
Flindersia schottiana,,,,,,55.878,580,45,36.652,,,,,AUSTRAITS_dataset_49,
Neolitsea dealbata,,,,,,56.84,,,,,,,,AUSTRAITS_dataset_68,
Ficus watkinsiana,,,,,,58.33,,,,,,,,AUSTRAITS_dataset_68,
Ficus watkinsiana,,,,,,58.33,,,,,,,,AUSTRAITS_dataset_68,
Wilkiea huegeliana,,,,,,58.48,,,,,,,,AUSTRAITS_dataset_68,
Wilkiea huegeliana,8.42, mm2/g,,,,58.481,,1,,,,,,AUSTRAITS_dataset_8,
Wilkiea macrophylla,,,,,,60,,,,,,,,AUSTRAITS_dataset_68,
Eupomatia bennettii,,,,,,60.638,,2,,,,,,AUSTRAITS_dataset_49,
Ficus racemosa,,,,,,60.9,,15,,,,,,AUSTRAITS_dataset_56,
Commersonia bartramia,,,,,,61.25,410,25,,,,,,AUSTRAITS_dataset_49,
Ficus watkinsiana,,,,,,61.25,,,,,,,,Gallagher_field_workPHD,
Lomandra longifolia,5.56,mm2/mg,,,,61.33,,0.4,11.33,,,,,AUSTRAITS_dataset_10,
Lomandra longifolia,,,,,,61.33,,,,,,,,AUSTRAITS_dataset_68,
Lomandra longifolia,,,,,,61.33,,,,,,,,AUSTRAITS_dataset_68,
Wilkiea huegeliana,,,,,,61.73,,,,,,,,Gallagher_field_workPHD,
Ficus coronata,15.528,m2/kg,,,,61.777,0.47,,,,,,,AUSTRAITS_dataset_28,
Ficus watkinsiana,,,,,,63,370,40,,,,,,AUSTRAITS_dataset_49,
Neolitsea dealbata,,,,,,63,,15,,,,,,AUSTRAITS_dataset_49,
Wilkiea macrophylla,,,,,,63,,10,,,,,,AUSTRAITS_dataset_49,
Rubus moluccanus,,,,,,64.313,,,,,,,,AUSTRAITS_dataset_49,
Clerodendrum floribundum,,,,,,64.969,,8,,,,,,AUSTRAITS_dataset_49,
Cissus antarctica,18.973, mm2/g,,,,65.048,,2,,,,,,AUSTRAITS_dataset_8,
Cissus antarctica,18.973,mm2/mg,,,,65.048,,2,,,,,,AUSTRAITS_dataset_52,
Cissus antarctica,,,,,,65.05,,,,,,,,AUSTRAITS_dataset_68,
ficus racemosa,,,,,,65.468,,30,,,,,,AUSTRAITS_dataset_29,
Smilax australis,,,,,,66.24,,,,,,,,AUSTRAITS_dataset_68,
Smilax australis,,,,,,66.24,,,,,,,,Gallagher_field_workPHD,
Toona ciliata,,,,61.96,g/m2,66.4,0.53,30,,,,,,AUSTRAITS_dataset_39,
Stephania japonica,,,,,,69.3,,,23.562,,,,,AUSTRAITS_dataset_49,
Smilax australis,,,,,,70.97,,,,,,,,AUSTRAITS_dataset_68,
Smilax australis,,,,,,70.98,,,,,,,,Gallagher_field_workPHD,
Ficus racemosa,,,,,,72,,,,,,,,AUSTRAITS_dataset_68,
Callerya megasperma,,,,,,73.5,,,,,,,,AUSTRAITS_dataset_49,
Smilax australis,,,,,,75,,,,,,,,Gallagher_field_workPHD,
Smilax australis,,,,,,75.17,,,,,,,,AUSTRAITS_dataset_68,
Smilax australis,,,,,,75.17,,,,,,,,Gallagher_field_workPHD,
Eupomatia laurina,,,,69.45,g/m2,75.65,0.5,7,,,,,,AUSTRAITS_dataset_39,
Wilkiea huegeliana,,,,,,79.45,,,,,,,,Gallagher_field_workPHD,
Stephania japonica,26.1,mm2/mg,,,,80,,0,18.581,,,,,AUSTRAITS_dataset_10,
Stephania japonica,,,,,,80,,,,,,,,AUSTRAITS_dataset_68,
Sloanea australis,,,,,,80.17,,,,,,,,AUSTRAITS_dataset_68,
Sloanea australis,,,,,,80.17,,,,,,,,AUSTRAITS_dataset_68,
Sloanea australis,,,,,,80.17,,,,,,,,AUSTRAITS_dataset_68,
Neolitsea dealbata,,,,,,81.31,,,,,,,,AUSTRAITS_dataset_68,
Neolitsea dealbata,12.587,m2/kg,,,,81.312,0.412,,,,,,,AUSTRAITS_dataset_28,
Lomandra longifolia,,,,,,81.58,,,,,,,,AUSTRAITS_dataset_68,
Lomandra longifolia,7.007, mm2/g,,,,83.809,,0.7,,,,,,AUSTRAITS_dataset_8,
Lomandra longifolia,,,,,,83.81,,,,,,,,AUSTRAITS_dataset_68,
Sloanea australis,,,,,,84.175,516,45,,,,,,AUSTRAITS_dataset_49,
Diploglottis australis,,,,,,86,,,,,,,,AUSTRAITS_dataset_68,
Diploglottis australis,,,,,,86,,,,,,,,AUSTRAITS_dataset_68,
Smilax australis,,,,,,86,,,,,,,,AUSTRAITS_dataset_68,
Smilax australis,,,,,,86,,,,,,,,Gallagher_field_workPHD,
Neolitsea dealbata,,,,102.2,g/m2,86.03,0.47,20,,,,,,AUSTRAITS_dataset_39,
Notelaea longifolia,,,,,,89.49,,,,,,,,Gallagher_field_workPHD,
Diploglottis australis,,,,,,90.3,597.7,45,,,,,,AUSTRAITS_dataset_49,
Calamus muelleri,,,,,,90.56,,,,,,,,AUSTRAITS_dataset_68,
Diploglottis australis,,,,,,95.469,,,,,,,,AUSTRAITS_dataset_68,
Hibiscus heterophyllus,,,,,,96.25,,8,,,,,,AUSTRAITS_dataset_49,
Smilax australis,,,,,,98.25,,,,,,,,AUSTRAITS_dataset_68,
Smilax australis,,,,,,98.25,,,,,,,,Gallagher_field_workPHD,
Neolitsea dealbata,10.703,m2/kg,,,,98.812,0.585,,,,,,,AUSTRAITS_dataset_28,
Neolitsea dealbata,11.106,m2/kg,,,,101.356,0.59,,,,,,,AUSTRAITS_dataset_28,
Legnephora moorei,,,,,,105.04,,,,,,,,AUSTRAITS_dataset_68,
Legnephora moorei,,,,,,105.04,,,,,,,,AUSTRAITS_dataset_68,
Legnephora moorei,,,,,,105.04,,,,,,,,Gallagher_field_workPHD,
Legnephora moorei,,,,,,107.33,,,,,,,,AUSTRAITS_dataset_68,
Synoum glandulosum,7.968,m2/kg,,,,107.663,0.53,,,,,,,AUSTRAITS_dataset_28,
Melodinus australis,,,,,,110.25,,,,,,,,AUSTRAITS_dataset_6,flora
Sterculia quadrifida,,,,,,119.35,309,25,,,,,,AUSTRAITS_dataset_49,
Schefflera actinophylla,,,,,,126.35,400,24,,,,,,AUSTRAITS_dataset_49,
Legnephora moorei,,,,,,130.67,,,,,,,,AUSTRAITS_dataset_68,
Passiflora edulis,,,,,,130.67,,,,,,,,AUSTRAITS_dataset_68,
Legnephora moorei,,,,,,143.02,,,,,,,,AUSTRAITS_dataset_68,
Legnephora moorei,,,,,,143.02,,,,,,,,Gallagher_field_workPHD,
