Taxon,SLA,SLA units,SLAunits flag,LMA,LMA units,leaf area,wood density,maximum height,seed mass,seed volume,flowering.onset,flowering.end,flowering.duration,source,source notes
Legnephora moorei,,,,,,168.175,,,226.195,,,,,AUSTRAITS_dataset_49,
Synoum glandulosum,8.739,m2/kg,,,,187.718,0.502,,,,,,,AUSTRAITS_dataset_28,
Synoum glandulosum,10.619,m2/kg,,,,203.557,0.524,,,,,,,AUSTRAITS_dataset_28,
Synoum glandulosum,,,,,,203.56,,,,,,,,AUSTRAITS_dataset_68,
Polyscias elegans,,,,,,323.36,,,,,,,,AUSTRAITS_dataset_43,
Rubus moluccanus,,,,,,324.8,,,,,,,,AUSTRAITS_dataset_6,flora
Melodorum leichhardtii,,,,,,396.9,,,,,,,,AUSTRAITS_dataset_6,flora
Castanospermum australe,,,,,,483.9,,,,,,,,AUSTRAITS_dataset_68,
Calamus muelleri,,,,,,546.75,,,,,,,,AUSTRAITS_dataset_68,
Arytera divaricata,,,,90.76,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Hippocratea barbata,,,,68.79,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Jagera pseudorhus,,,,41.83,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Jagera pseudorhus,,,,48.33,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Legnephora moorei,,,,36.83,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Maclura cochinchinensis,,,,46.99,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Maclura cochinchinensis,,,,47.51,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Maclura cochinchinensis,,,,49.21,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Maclura cochinchinensis,,,,49.84,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Maclura cochinchinensis,,,,60.44,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Maclura cochinchinensis,,,,64.62,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Arytera divaricata,,,,98.7,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Maclura cochinchinensis,,,,70.32,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Marsdenia rostrata,,,,28.83,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Marsdenia rostrata,,,,39.15,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Marsdenia rostrata,,,,41.46,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Marsdenia rostrata,,,,44.39,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Marsdenia rostrata,,,,58.17,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Mischocarpus pyriformis,,,,108.82,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Mischocarpus pyriformis,,,,112.14,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Mischocarpus pyriformis,,,,116.12,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Mischocarpus pyriformis,,,,118.69,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Beilschmiedia obtusifolia,,,,91.01,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Morinda jasminoides,,,,31,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Morinda jasminoides,,,,31.72,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Morinda jasminoides,,,,36.37,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Morinda jasminoides,,,,37.25,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Morinda jasminoides,,,,37.66,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Morinda jasminoides,,,,43.73,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Morinda jasminoides,,,,45.49,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Morinda jasminoides,,,,63.66,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Myrsine variabilis,,,,55.69,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Myrsine variabilis,,,,80.24,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Calamus muelleri,,,,78.94,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Myrsine variabilis,,,,107.92,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Myrsine variabilis,,,,114.06,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Neolitsea dealbata,,,,90.48,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Notelaea longifolia,,,,42.26,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Notelaea longifolia,,,,91.49,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Notelaea longifolia,,,,98.1,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Notelaea longifolia,,,,99.63,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Notelaea longifolia,,,,120.75,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Notelaea longifolia,,,,137.42,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Notelaea longifolia,,,,161.5,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Capparis arborea,,,,87.77,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Olea paniculata,,,,66.14,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Pandorea pandorana,,,,36.53,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Pandorea pandorana,,,,98.95,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Pararchidendron pruinosum,,,,40.64,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Parsonsia straminea,,,,48.57,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Parsonsia straminea,,,,72,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Parsonsia straminea,,,,85.65,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Pittosporum undulatum,,,,72.8,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Pittosporum undulatum,,,,90.27,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Pittosporum undulatum,,,,100.86,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Capparis arborea,,,,103.4,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Pittosporum undulatum,,,,103.54,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Polyscias elegans,,,,61.3,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Polyscias elegans,,,,66.15,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Polyscias elegans,,,,69.36,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Polyscias elegans,,,,109.97,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Psychotria loniceroides,,,,45.95,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Psychotria loniceroides,,,,61.39,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Rhodomyrtus psidioides,,,,59.18,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Rhodomyrtus psidioides,,,,106.95,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Sarcopteryx stipata,,,,109.06,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Cayratia clematidea,,,,16.93,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Smilax australis,,,,70.4,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Smilax australis,,,,76.95,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Smilax australis,,,,78.86,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Smilax australis,,,,80.94,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Smilax australis,,,,97.19,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Smilax australis,,,,109.08,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Smilax australis,,,,122.5,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Stephania japonica,,,,40.82,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Stephania japonica,,,,49.59,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Stephania japonica,,,,50.15,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Cayratia clematidea,,,,26.37,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Stephania japonica,,,,76.81,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Synoum glandulosum,,,,42.59,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Synoum glandulosum,,,,53.88,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Synoum glandulosum,,,,59.12,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Synoum glandulosum,,,,90.82,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Syzygium australe,,,,64.26,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Syzygium australe,,,,82.05,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Syzygium australe,,,,91.94,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Syzygium australe,,,,95.74,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Syzygium luehmannii,,,,64.99,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Cissus antarctica,,,,45.6,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Syzygium luehmannii,,,,73.26,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Syzygium luehmannii,,,,78.65,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Syzygium oleosum,,,,84.09,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Syzygium oleosum,,,,89.23,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Syzygium oleosum,,,,91.43,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Trema tomentosa,,,,56.19,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Trophis scandens,,,,74.33,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Trophis scandens,,,,83.91,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Trophis scandens,,,,87.53,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Trophis scandens,,,,94.82,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Cissus antarctica,,,,49.12,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Trophis scandens,,,,104.28,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Trophis scandens,,,,108.16,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Wilkiea huegeliana,,,,88.19,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Wilkiea huegeliana,,,,104.92,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Wilkiea huegeliana,,,,108.83,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Wilkiea huegeliana,,,,136.48,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Acmena smithii,,,,113.09,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Cissus antarctica,,,,54.71,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Cissus antarctica,,,,55.08,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Cissus antarctica,,,,58.72,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Cissus antarctica,,,,66.43,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Cissus antarctica,,,,95.08,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Cissus hypoglauca,,,,37.52,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Cissus hypoglauca,,,,50.87,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Cissus hypoglauca,,,,79.95,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Cissus hypoglauca,,,,82.72,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Cissus hypoglauca,,,,92.37,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Acronychia oblongifolia,,,,67.16,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Cleistanthus cunninghamii,,,,81.25,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Clematis aristata,,,,75.22,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Clematis aristata,,,,78.03,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Commersonia bartramia,,,,86.93,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Cryptocarya triplinervis,,,,93.69,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Cupaniopsis anacardioides,,,,79.84,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Cupaniopsis anacardioides,,,,86.43,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Cupaniopsis anacardioides,,,,99.27,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Cupaniopsis anacardioides,,,,100.59,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Dioscorea transversa,,,,24.79,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Acronychia oblongifolia,,,,82.88,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Dioscorea transversa,,,,25.05,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Dioscorea transversa,,,,25.36,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Dioscorea transversa,,,,28.39,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Diospyros australis,,,,127.84,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Diospyros australis,,,,135.73,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Diospyros australis,,,,138.25,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Diospyros pentamera,,,,105.59,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Diospyros pentamera,,,,118.22,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Diospyros pentamera,,,,118.98,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Diospyros pentamera,,,,141.63,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Alangium villosum,,,,49.63,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Drypetes deplanchei,,,,83.23,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Drypetes deplanchei,,,,96.29,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Drypetes deplanchei,,,,105.85,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Drypetes deplanchei,,,,106.59,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Dysoxylum rufum,,,,40.74,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Elaeocarpus obovatus,,,,76.15,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Elaeocarpus obovatus,,,,116.94,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Embelia australiana,,,,74.07,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Embelia australiana,,,,75.56,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Embelia australiana,,,,82.05,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Alangium villosum,,,,57.29,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Embelia australiana,,,,82.12,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Endiandra discolor,,,,90.5,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Endiandra discolor,,,,95.02,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Endiandra sieberi,,,,107.88,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Eupomatia laurina,,,,50.66,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Eupomatia laurina,,,,58.6,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Eupomatia laurina,,,,63.83,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Eupomatia laurina,,,,64.98,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Eupomatia laurina,,,,70.6,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Eupomatia laurina,,,,177.14,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Aphananthe philippinensis,,,,71.62,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Euroschinus falcatus,,,,60.13,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Euroschinus falcatus,,,,72.71,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Euroschinus falcatus,,,,77.62,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Euroschinus falcatus,,,,82.69,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Ficus coronata,,,,44.24,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Ficus fraseri,,,,54.4,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Ficus obliqua,,,,75.7,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Flagellaria indica,,,,37.65,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Flagellaria indica,,,,44.59,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Flagellaria indica,,,,46.08,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Arytera divaricata,,,,87.48,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Flagellaria indica,,,,54.69,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Flagellaria indica,,,,81.52,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Geitonoplesium cymosum,,,,25.51,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Geitonoplesium cymosum,,,,27.02,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Geitonoplesium cymosum,,,,28.55,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Geitonoplesium cymosum,,,,29.23,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Geitonoplesium cymosum,,,,32.32,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Geitonoplesium cymosum,,,,32.74,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Geitonoplesium cymosum,,,,40.91,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Geitonoplesium cymosum,,,,45.85,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Arytera divaricata,,,,89.1,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Glochidion ferdinandi,,,,58.71,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Glochidion ferdinandi,,,,65.02,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Glochidion ferdinandi,,,,97.5,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Guioa semiglauca,,,,63.1,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Guioa semiglauca,,,,71.29,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Guioa semiglauca,,,,93.99,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Guioa semiglauca,,,,104.02,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Guioa semiglauca,,,,108.58,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Guioa semiglauca,,,,114.69,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Helicia glabriflora,,,,119.04,g/cm2,,,,,,,,,Gallagher_field_workPHD,
Acmena smithii,,,,122,g/m2,,,,,,,,,AUSTRAITS_dataset_32,
Bursaria incana,,,,,g/m2,,0.74,4,,,,,,AUSTRAITS_dataset_61,
Castanospermum australe,,,,59.2,g/m2,,,,,,,,,AUSTRAITS_dataset_32,
Diospyros australis,,,,162,g/m2,,,,,,,,,AUSTRAITS_dataset_32,
Flindersia schottiana,,,,104.9,g/m2,,,,,,,,,AUSTRAITS_dataset_32,
Heritiera trifoliolata,,,,81.3,g/m2,,,,,,,,,AUSTRAITS_dataset_32,
Heritiera trifoliolata,,,,123,g/m2,,,,,,,,,AUSTRAITS_dataset_32,
Breynia oblongifolia,,,,60,unkown,,,,,,,,,AUSTRAITS_dataset_30,
Glochidion ferdinandi,,,,74.5,unkown,,,,,,,,,AUSTRAITS_dataset_30,
Rhodamnia rubescens,109.93,cm2/g,,,,,,25,,,,,,AUSTRAITS_dataset_46,
Pothos longipes,0.12,cm2/g,x,,,,,,,,,,,AUSTRAITS_dataset_23,
Neolitsea dealbata,0.169,cm2/g,x,,,,,,,,,,,AUSTRAITS_dataset_23,
Smilax australis,11.277,cm2/g,,,,,,,,,,,,Gallagher_field_workPHD,
Cissus hypoglauca,12.18,cm2/g,,,,,,,,,,,,Gallagher_field_workPHD,
Embelia australiana,12.775,cm2/g,,,,,,,,,,,,Gallagher_field_workPHD,
Calamus muelleri,13.418,cm2/g,,,,,,,,,,,,Gallagher_field_workPHD,
Cissus antarctica,15.024,cm2/g,,,,,,,,,,,,Gallagher_field_workPHD,
Flagellaria indica,16.509,cm2/g,,,,,,,,,,,,Gallagher_field_workPHD,
Rubus rosifolius,23.959,cm2/g,,,,,,,,,,,,Gallagher_field_workPHD,
Morinda jasminoides,25.144,cm2/g,,,,,,,,,,,,Gallagher_field_workPHD,
Stephania japonica,25.97,cm2/g,,,,,,,,,,,,Gallagher_field_workPHD,
Parsonsia straminea,26.497,cm2/g,,,,,,,,,,,,Gallagher_field_workPHD,
Pandorea pandorana,28.485,cm2/g,,,,,,,,,,,,Gallagher_field_workPHD,
Clematis aristata,30.771,cm2/g,,,,,,,,,,,,Gallagher_field_workPHD,
Casuarina cunninghamiana,35.164,cm2/g,,,,,,,,,,,,AUSTRAITS_dataset_32,
Hippocratea barbata,38.669,cm2/g,,,,,,,,,,,,Gallagher_field_workPHD,
Geitonoplesium cymosum,39.471,cm2/g,,,,,,,,,,,,Gallagher_field_workPHD,
Lomandra longifolia,41.991,cm2/g,,,,,,,,,,,,AUSTRAITS_dataset_32,
Dioscorea transversa,47.945,cm2/g,,,,,,,,,,,,Gallagher_field_workPHD,
Cayratia clematidea,49.189,cm2/g,,,,,,,,,,,,Gallagher_field_workPHD,
Lomandra longifolia,53.576,cm2/g,,,,,,,,,,,,AUSTRAITS_dataset_32,
Pteridium esculentum,89.68,cm2/g,,,,,,,,,,,,AUSTRAITS_dataset_32,
Pittosporum undulatum,91.925,cm2/g,,,,,,,,,,,,AUSTRAITS_dataset_32,
Synoum glandulosum,93.196,cm2/g,,,,,0.512,,,,,,,AUSTRAITS_dataset_20,
Alphitonia excelsa,94.4,cm2/g,,,,,,,,,,,,AUSTRAITS_dataset_32,
Grevillea robusta,97.79,cm2/g,,,,,,,,,,,,AUSTRAITS_dataset_32,
Pittosporum undulatum,104.454,cm2/g,,,,,,,,,,,,AUSTRAITS_dataset_32,
Marsdenia rostrata,110.345,cm2/g,,,,,,,,,,,,AUSTRAITS_dataset_32,
Pothos longipes,120.048,cm2/g,,,,,,,,,,,,AUSTRAITS_dataset_32,
Castanospermum australe,123.053,cm2/g,,,,,,,,,,,,AUSTRAITS_dataset_32,
Ficus coronata,133.364,cm2/g,,,,,,,,,,,,AUSTRAITS_dataset_32,
Guioa semiglauca,144.17,cm2/g,,,,,,,,,,,,AUSTRAITS_dataset_32,
Glochidion ferdinandi,148.94,cm2/g,,,,,,,,,,,,AUSTRAITS_dataset_32,
Eupomatia laurina,169.58,cm2/g,,,,,,,,,,,,AUSTRAITS_dataset_32,
Pteridium esculentum,179.865,cm2/g,,,,,,,,,,,,AUSTRAITS_dataset_32,
Elaeocarpus grandis,196.078,cm2/g,,,,,,,,,,,,AUSTRAITS_dataset_32,
Pittosporum undulatum,200.724,cm2/g,,,,,,,,,,,,AUSTRAITS_dataset_32,
Acacia fimbriata,8.88,m2/mg,,,,,,6,,17,,,,AUSTRAITS_dataset_5,
Casuarina littoralis,4.57,mm2/mg,,,,,,12,3.119,,,,,AUSTRAITS_dataset_10,
Pteridium esculentum,6.091,mm2/mg,,,,,,1.8,,,,,,AUSTRAITS_dataset_52,
Macadamia tetraphylla,6.254,mm2/mg,,,,,,,,,,,,AUSTRAITS_dataset_52,
Tristaniopsis laurina,6.93,mm2/mg,,,,,,,,,,,,AUSTRAITS_dataset_52,
Cupaniopsis anacardioides,9.287,mm2/mg,,,,,,,,,,,,AUSTRAITS_dataset_52,
Sloanea australis,9.686,mm2/mg,,,,,,,,,,,,AUSTRAITS_dataset_52,
Pittosporum undulatum,10.465,mm2/mg,,,,,,,,,,,,AUSTRAITS_dataset_52,
Lophostemon suaveolens,10.493,mm2/mg,,,,,,,,,,,,AUSTRAITS_dataset_52,
Synoum glandulosum,10.855,mm2/mg,,,,,,,,,,,,AUSTRAITS_dataset_52,
Synoum glandulosum,10.855,mm2/mg,,,,,,,,,,,,AUSTRAITS_dataset_52,
Glochidion ferdinandi,11.923,mm2/mg,,,,,,,,,,,,AUSTRAITS_dataset_52,
Ligustrum lucidum,11.927,mm2/mg,,,,,,,,,,,,AUSTRAITS_dataset_52,
Cupaniopsis anacardioides,12.14,mm2/mg,,,,,,8,,,,,,AUSTRAITS_dataset_52,
Toona ciliata,12.804,mm2/mg,,,,,,,,,,,,AUSTRAITS_dataset_52,
Synoum glandulosum,13.1,mm2/mg,,,,,,4,226.917,,,,,AUSTRAITS_dataset_10,
Castanospermum australe,13.524,mm2/mg,,,,,,,,,,,,AUSTRAITS_dataset_52,
Eupomatia laurina,17.591,mm2/mg,,,,,,,,,,,,AUSTRAITS_dataset_52,
Acronychia oblongifolia,18.09,mm2/mg,,,,,,4,2.167,,,,,AUSTRAITS_dataset_10,
Passiflora edulis,21.6,mm2/mg,,,,,,5,11.502,,,,,AUSTRAITS_dataset_10,
Alphitonia excelsa,,,,,,,,10,,,,,,AUSTRAITS_dataset_52,
Alphitonia excelsa,,,,,,,,,18.2,,,,,AUSTRAITS_dataset_52,
Araucaria cunninghamii,,,,,,,,,,,,,,AUSTRAITS_dataset_52,
Backhousia myrtifolia,,,,,,,,10,,,,,,AUSTRAITS_dataset_52,
Backhousia myrtifolia,,,,,,,,,13.006,,,,,AUSTRAITS_dataset_52,
Breynia oblongifolia,,,,,,,,2,,,,,,AUSTRAITS_dataset_52,
Breynia oblongifolia,,,,,,,,,7.828,,,,,AUSTRAITS_dataset_52,
Callistemon salignus,,,,,,,,6,,,,,,AUSTRAITS_dataset_52,
Carex appressa,,,,,,,,,1.001,,,,,AUSTRAITS_dataset_52,
Castanospermum australe,,,,,,,,,7722.17,,,,,AUSTRAITS_dataset_52,
Castanospermum australe,,,,,,,,,14000,,,,,AUSTRAITS_dataset_52,
Casuarina cunninghamiana,,,,,,,,25,,,,,,AUSTRAITS_dataset_52,
Casuarina littoralis,,,,,,,,,3.119,,,,,AUSTRAITS_dataset_52,
Cayratia clematidea,,,,,,,,,12.31,,,,,AUSTRAITS_dataset_52,
Cinnamomum camphora,,,,,,,,,77,,,,,AUSTRAITS_dataset_52,
Cissus hypoglauca,,,,,,,,,38.058,,,,,AUSTRAITS_dataset_52,
Cissus hypoglauca,,,,,,,,,36.11,,,,,AUSTRAITS_dataset_52,
Clematis aristata,,,,,,,,,2.964,,,,,AUSTRAITS_dataset_52,
Clematis aristata,,,,,,,,8,,,,,,AUSTRAITS_dataset_52,
Clerodendrum floribundum,,,,,,,,13,,,,,,AUSTRAITS_dataset_52,
Clerodendrum floribundum,,,,,,,,,43.7,,,,,AUSTRAITS_dataset_52,
Commersonia bartramia,,,,,,,,,13,,,,,AUSTRAITS_dataset_52,
Cryptocarya glaucescens,,,,,,,,4,,,,,,AUSTRAITS_dataset_52,
Cryptocarya glaucescens,,,,,,,,25,,,,,,AUSTRAITS_dataset_52,
Cryptocarya glaucescens,,,,,,,,1.2,,,,,,AUSTRAITS_dataset_52,
Cupaniopsis anacardioides,,,,,,,,,,,,,,AUSTRAITS_dataset_52,
Dioscorea transversa,,,,,,,,1.5,,,,,,AUSTRAITS_dataset_52,
Diospyros australis,,,,,,,,,242.304,,,,,AUSTRAITS_dataset_52,
Diospyros pentamera,,,,,,,,27.8,,,,,,AUSTRAITS_dataset_52,
Dysoxylum rufum,,,,,,,,,108.47,,,,,AUSTRAITS_dataset_52,
Elaeagnus triflora,,,,,,,,,150,,,,,AUSTRAITS_dataset_52,
Endiandra sieberi,,,,,,,,15,,,,,,AUSTRAITS_dataset_52,
Eupomatia laurina,,,,,,,,15,,,,,,AUSTRAITS_dataset_52,
Eupomatia laurina,,,,,,,,,8.15,,,,,AUSTRAITS_dataset_52,
Eupomatia laurina,,,,,,,,4.5,,,,,,AUSTRAITS_dataset_52,
Eupomatia laurina,,,,,,,,10.5,,,,,,AUSTRAITS_dataset_52,
Ficus coronata,,,,,,,,1.8,,,,,,AUSTRAITS_dataset_52,
Ficus obliqua,,,,,,,,40,,,,,,AUSTRAITS_dataset_52,
